,AUFN_Faut,count,ph_wd_name,ph_wd_URI,gender,workplace,lat,lon,born,died
98,Studio Fotografico Ciappei,1,Studio Fotografico Ciappei,,,,,,,
99,"Voland, Pierre Henry ",1,Pierre Henry Voland,,,,,,,
100,"Pesce, Francesco",1,Francesco Pesce,http://www.wikidata.org/entity/Q102280801,,,,,,
101,"Giletta, Jean",1,Jean Giletta,,,,,,,
102,"Van Lint, Enrico",1,Enrico Van Lint,http://www.wikidata.org/entity/Q17285798,,,,,,
103,"Garzón, Rafael",1,Rafael Garzón,http://www.wikidata.org/entity/Q604471,,,,,,
104,"Paganori, Vincenzo",1,Vincenzo Paganori,,,,,,,
105,"Brillet-Buyet, Luigi",1,Luigi Brillet-Buyet,,,,,,,
106,"Venturi, Francesco",1,Francesco Venturi,,,,,,,
107,Rozier,1,Rozier,,,,,,,
108,"Portier, Claude-Joseph",1,Claude-Joseph Portier,http://www.wikidata.org/entity/Q16038697,,Algiers,36.7753606,3.0601882,1841,1910
109,"Arnoux, Hippolyte",1,Hippolyte Arnoux,http://www.wikidata.org/entity/Q2718944,,,,,,
110,Alary & Geiser,1,Alary and Geiser,,,,,,,
111,"Mansell, W. F.",1,W. F. Mansell,,,,,,,
