,place,lat,lon
280,Batalha,-9.6733809,-37.1265481
281,Il Cairo,30.0443879,31.2357257
282,Karnak,37.2936633,-88.9753462
283,Giza,29.9870753,31.2118063
284,Tebe,-7.2504999,29.6230831
285,Tébessa,35.124945,7.901173504229375
286,Algeri,28.0000272,2.9999825
287,Tlemcen,34.881789,-1.316699
288,Costantina,36.364519,6.60826
289,Mansourah,34.8733172,-1.3302647
290,Timgad,35.483632799999995,6.466812074704006
291,Tazoult,35.4860091,6.2536097
292,Tipasa,36.527157,2.167201180271209
293,Istanbul,41.0091982,28.9662187
294,Bursa,40.182737,29.0675481
295,Cartagine,36.8548083,10.3309924
296,Tunisi,33.8439408,9.400138
297,Zaghouan,36.3319504,10.045299971877624
298,Kairouan,35.6710101,10.10062
299,Dougga,36.389790000000005,9.245805407327586
300,El Jem,35.2966435,10.71284
301,Sousse,35.8288175,10.6405392
302,Devenish Island,54.37388935,-7.658392383734201
303,Glendalough,-31.9151316,115.8231889
304,Cashel,-19.5429431,32.7906831
305,Clonmacnoise,53.32631345,-7.98574323909311
306,Gerusalemme,31.7788242,35.2257626
307,Ramla,31.9279988,34.8623473
308,Baalbek,34.009653,36.2117096
309,Agra,27.1752554,78.0098161
310,Vasai,19.4404562,72.88229422832666
311,Bijapur,18.7935679,80.815939
312,Lucknow,26.8381,80.9346001
313,Mamallapuram,12.6195981,80.1936497
314,Delhi,28.6517178,77.2219388
315,Prayagraj,25.4381302,81.8338005
316,Mehrawli,,
317,Berlino,52.5170365,13.3888599
318,Monaco di Baviera,48.1371079,11.5753822
319,Francoforte sul Meno,50.1106444,8.6820917
320,Norimberga,49.453872,11.077298
321,Rothenburg ob der Tauber,49.3771899,10.1788809
322,Igel,49.7089913,6.5539804
323,Römhild,50.3927584,10.5678277
324,Treviri,49.7596208,6.6441878
325,Dresda,51.0493286,13.7381437
326,Naumburg,51.1525648,11.8099186
327,Mainz,50.0012314,8.2762513
328,Spira,49.3165553,8.433615
329,Spalato,43.5116383,16.4399659
330,Pola (Pula),13.1000354,121.456645
331,Sebenico,43.7338436,15.8961863
332,Zara (Zadar),44.1168594,15.2353257
333,Traù (Trogir),43.5164142,16.2497163
334,San Pietroburgo,59.938732,30.316229
335,Sergiev Posad,56.3153529,38.1358208
336,Mosca,55.7504461,37.6174943
337,Praga,50.0874654,14.4212535
338,La Valletta,35.8989818,14.5136759
339,Mosta,35.9079178,14.4241508
340,Rabat/ Medina,13.0685999,-13.7115429
341,Innsbruck,47.2654296,11.3927685
342,Leida,41.6147605,0.6267842
343,Anversa,51.2211097,4.3997081
344,Aigueperse,46.0219319,3.20189
345,Stoccolma,59.3251172,18.0710935
346,Italia,42.6384261,12.674297
347,San Marino,43.9458623,12.458306
348,Francia,46.603354,1.8883335
349,Libia,26.8234472,18.1236723
350,Danimarca,55.670249,10.3333283
351,Grecia,38.9953683,21.9877132
352,Regno Unito,54.7023545,-3.2765753
353,Spagna,39.3260685,-4.8379791
354,Portogallo,39.6621648,-8.1353519
355,Egitto,26.2540493,29.2675469
356,Turchia,38.9597594,34.9249653
357,Tunisia,33.8439408,9.400138
358,Irlanda,52.865196,-7.9794599
359,Israele,30.8124247,34.8594762
360,Libano,33.8750629,35.843409
361,India,22.3511148,78.6677428
362,Germania,51.1638175,10.4478313
363,Croazia,45.3658443,15.6575209
364,Russia,64.6863136,97.7453061
365,Repubblica Ceca,49.7439047,15.3381061
366,Malta,35.8885993,14.4476911
367,Austria,47.59397,14.12456
368,Paesi Bassi,52.2434979,5.6343227
369,Belgio,50.6402809,4.6667145
370,Svezia,59.6749712,14.5208584
371,Corneto,42.7928088,13.4365308
372,Chiusi,43.0165076,11.9477118
373,Olympia,47.0451022,-122.8950075
